Site,Treatment,Plot,Date_collected,Sampling,Quad_area,Species,Foil_wt (g),wet_wt,dry_wt,Net_drywt,Macro_perm2,,,,,,,,,,,,,,,,,
CB, +Nutrients,4,24-07-2018,1Month,0.1083,Ulva_lenza,1.12,1.97,1.16,0.04,0.369504172,,,,,,,,,,,,,,,,,
CB, +Nutrients,5,24-07-2018,1Month,0.1083,Hypnea_spxx,1.35,10.74,1.89,0.54,4.988306326,,,,,,,,,,,,,,,,,
CB, +Nutrients,5,24-07-2018,1Month,0.1083,Zostera_japonica,1.52,6.13,2.38,0.86,7.944339704,,,,,,,,,,,,,,,,,
CB, +Nutrients,5,24-07-2018,1Month,0.1083,Ulva_intestinalis,,,,,0.001,,,,,,,,,,,,,,,,,
CB, +Nutrients,5,24-07-2018,1Month,0.1083,Ulva_lenza,,,,,0.001,,,,,,,,,,,,,,,,,
CB, +Nutrients,5,24-07-2018,1Month,0.1083,mush green algae,,,,,0.001,,,,,,,,,,,,,,,,,
CB, +Nutrients,6,24-07-2018,1Month,0.1083,Hypnea_spxx,1.55,13.68,2.16,0.61,5.634938627,,,,,,,,,,,,,,,,,
CB, +Nutrients,6,24-07-2018,1Month,0.1083,Zostera_japonica,1.40,2.96,1.66,0.26,2.40177712,,,,,,,,,,,,,,,,,
CB, +Nutrients,6,24-07-2018,1Month,0.1083,Ulva_intestinalis,,,,,0,,,,,,,,,,,,,,,,,
CB, +Nutrients,7,24-07-2018,1Month,0.1083,Hypnea_spxx,1.43,3.17,1.56,0.13,1.20088856,,,,,,,,,,,,,,,,,
CB, +Nutrients,7,24-07-2018,1Month,0.1083,Ulva_intestinalis,,,,,0,,,,,,,,,,,,,,,,,
CB, +Nutrients,8,24-07-2018,1Month,0.1083,Hypnea_spxx,1.47,21.99,2.61,1.14,10.53086891,,,,,,,,,,,,,,,,,
CB, +Nutrients,8,24-07-2018,1Month,0.1083,Zostera_japonica,1.39,1.82,1.51,0.12,1.108512517,,,,,,,,,,,,,,,,,
CB, +Nutrients,8,24-07-2018,1Month,0.1083,Ulva_intestinalis,1.55,5.52,2.06,0.51,4.711178197,,,,,,,,,,,,,,,,,
CB,Ambient,1,24-07-2018,1Month,0.1083,Hypnea_spxx,2.19,25.17,3.50,1.31,12.10126164,,,,,,,,,,,,,,,,,
CB,Ambient,1,24-07-2018,1Month,0.1083,Zostera_japonica,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,1,24-07-2018,1Month,0.1083,Ulva_spxx,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,2,24-07-2018,1Month,0.1083,Hypnea_spxx,1.53,9.53,2.10,0.57,5.265434455,,,,,,,,,,,,,,,,,
CB,Ambient,2,24-07-2018,1Month,0.1083,Zostera_japonica,1.30,2.31,1.47,0.17,1.570392732,,,,,,,,,,,,,,,,,
CB,Ambient,2,24-07-2018,1Month,0.1083,Ulva_intestinalis,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,2,24-07-2018,1Month,0.1083,Ulva_spxx,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,3,24-07-2018,1Month,0.1083,Hypnea_spxx,2.29,14.52,2.81,0.52,4.80355424,,,,,,,,,,,,,,,,,
CB,Ambient,3,24-07-2018,1Month,0.1083,Ulva_spxx,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,3,24-07-2018,1Month,0.1083,Gracilaria_spxx,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,4,24-07-2018,1Month,0.1083,Hypnea_spxx,1.66,5.81,1.90,0.24,2.217025034,,,,,,,,,,,,,,,,,
CB,Ambient,4,24-07-2018,1Month,0.1083,Ulva_intestinalis,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,5,24-07-2018,1Month,0.1083,Hypnea_spxx,1.31,34.46,3.35,2.04,18.84471279,,,,,,,,,,,,,,,,,
CB,Ambient,5,24-07-2018,1Month,0.1083,Zostera_japonica,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,5,24-07-2018,1Month,0.1083,Ulva_intestinalis,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,6,24-07-2018,1Month,0.1083,Hypnea_spxx,1.37,11.26,1.82,0.45,4.156921938,,,,,,,,,,,,,,,,,
CB,Ambient,7,24-07-2018,1Month,0.1083,Hypnea_spxx,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,7,24-07-2018,1Month,0.1083,Ulva_intestinalis,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,8,24-07-2018,1Month,0.1083,Hypnea_spxx,1.62,12.18,2.24,0.62,5.72731467,,,,,,,,,,,,,,,,,
CB,Ambient,8,24-07-2018,1Month,0.1083,Zostera_japonica,1.64,11.86,3.04,1.40,12.93264603,,,,,,,,,,,,,,,,,
